,0,1,2,3,4,5,6,7,8,9
agent_33,403339.0556998405,397498.4512839776,391803.8619785113,386251.6374056817,380838.21844717284,375560.1349626267,370414.00356519414,365396.5254526974,360504.4842930131,355734.7441623209
agent_34,203727.32809455192,205962.37825380103,208141.5521590689,210266.24671670506,212337.82391040033,214357.61167425322,216326.90474400978,218246.96548702242,220119.02471145976,221944.28245528616
agent_35,55795.11936382957,63176.862511083025,70374.06207965514,77391.33165901294,84233.1694988868,90903.96139276383,97407.98348929393,103749.40503341076,109932.29103892468,115960.60489430075
agent_36,15629.883681692703,21444.664810322287,27114.076410736132,32641.75272113963,38031.23712378304,43285.98441636037,48409.363026623265,53404.65717162959,58275.06896301075,63023.720459607386
agent_37,36868.94944040877,39431.78633718815,41930.55231154805,44366.849136548946,46742.23854092482,49058.24321019131,51316.34776272612,53517.999701447574,55664.61034170099,57757.55571594807
agent_38,3617.4737105682652,7234.9474211365305,10671.547446176382,14022.232470590237,17289.15036939375,20474.39532072717,23580.009148277255,26607.982630138587,29560.25677495339,32438.724066147817
agent_39,111766.0173885484,118017.05043538545,124111.80765605158,130054.19594620104,135848.02452909676,141497.0073974201,147004.76569403533,152374.8300332352,157610.64276395505,162715.56017640693
agent_40,346832.7479065507,344883.96873059485,342983.9090340379,341131.3508298949,339325.10658085544,337564.01843804197,335846.95749879885,334172.8230830368,332540.5420276688,330949.067998685
agent_41,829882.1813306044,812518.6572973018,795589.2213648318,779083.0213306735,762989.4762973691,747298.2698898974,731999.3436426125,717082.8905515097,702539.3487876845,688359.3955679549
agent_42,92511.8059346395,97917.60755794033,103188.26414065863,108327.15430880898,113337.57222275557,118222.72968885349,122985.75821829896,127629.71103450829,132157.5650303124,136572.2226762214
agent_43,299539.9221656813,300156.519740895,300757.7023767284,301343.85544666596,301915.35468985507,302472.56645196443,303015.8479200211,303545.5473513763,304062.0042969477,304565.54981887975
agent_44,7790.183102107039,15385.611626661403,22791.154438101905,30011.558679256395,37051.45281438202,43915.34959612951,50607.64895833332,57132.64083648202,63494.50791767701,69697.32832184213
agent_45,185721.6842325703,189607.3838549395,193395.94098674945,197089.78419026418,200691.28131369106,204202.74100903224,207626.4142119899,210964.49558487363,214219.12492343524,217392.3885285328
agent_46,390650.0829525713,386885.6216426217,383215.27186542086,379636.68083265005,376147.5545756985,372745.65647517075,369428.8058271562,366194.876445342,363041.79529807315,359967.541179486
agent_47,241632.50559802618,239430.9662507207,237284.46538709785,235191.62704506557,233151.1096615841,231161.60521268967,229221.8383750176,227330.56570828732,225486.5748582253,223688.68377941483
agent_48,15474.963227299879,20331.60365820124,25066.828078330065,29683.671887955672,34185.094602340636,38573.981748865976,42853.14671672818,47025.33256039383,51093.21375796784,55059.3979256025
agent_49,892022.572324488,874543.0960265826,857500.606636125,840884.1794804288,824683.163003625,808887.1719387413,793486.0806504798,778470.0166444248,763829.3542385211,749554.708392765
agent_50,16105.318331208726,21141.374176268182,26051.52862520115,30838.929212910793,35506.644785927696,40057.66746961918,44494.91458621837,48821.23052490259,53039.3885651197,57152.09265433138
agent_51,63517.43032174716,69438.77507388873,75212.08620722675,80841.06456223132,86329.31845836078,91680.36600708701,96897.63736709507,101984.47694310294,106944.14552971061,111779.82240165309
agent_52,293860.477674205,291314.2418067491,288831.6618359796,286411.1463644794,284051.14377976663,281750.1412596717,279506.66380257916,277319.27328191395,275186.5675242653,273107.1794105579
agent_53,13284.739426598491,26089.78374215513,38574.701949822855,50747.49720229889,62615.97257346302,74187.73606034805,85470.20546006094,96470.61312478103,107196.01059788311,117653.27313415764
agent_54,65432.23387470291,72541.49937156225,79473.03323100011,86231.27874395202,92820.56811908013,99245.12525983003,105509.0684720612,111616.41310398659,117571.07412011384,123376.86861083792
agent_55,661218.6246780533,652073.8215560918,643157.6385121793,634464.3600443646,625988.4135382453,617724.365694779,609666.9190473993,601810.9085662041,594151.2983470388,586683.1783833526
agent_56,93326.24866188635,96781.88830461875,100151.13695628285,103436.15439165533,106639.0463911435,109761.86609064449,112806.61529765793,115775.24577449604,118669.6604894132,121491.71483645744
agent_57,49134.75550951719,60218.74257427661,71025.62996241705,81562.34516585397,91835.64248920497,101852.1073794722,111618.16064748276,121140.06258379304,130423.91697169557,139475.6749999005
agent_58,6979.18136434864,11811.604139132296,16523.21634454636,21117.03824482507,25596.014597596815,29963.016541549267,34220.843436902906,38372.22465987271,42419.82135226826,46366.22812735393
agent_59,368222.7246838108,366109.39802181383,364048.9045263668,362039.92336830596,360081.16673919663,358171.37902581505,356309.336005268,354493.8440602346,352723.7394138271,350997.88738357974
agent_60,15519.002094397842,23396.29362111323,31076.65285966073,38565.003117244545,45866.14461838876,52984.75758200437,59925.405221529596,66692.5366700667,73290.48983239036,79723.49416565594
agent_61,146185.87336787442,149080.30964638072,151902.38501792436,154653.9085051794,157336.6439052531,159952.31092032493,162502.58626001998,164989.10471622262,167413.4602110202,169777.20681844786
agent_62,4766.150608728624,8985.301337133726,12979.819532110483,16874.474772212823,20671.763631312602,24374.120268934887,27983.917990616614,31503.4707692563,34935.03472842999,38280.80958862434
agent_63,13788.80165947733,19298.779703348824,24671.00829612353,29908.931174078873,35015.90598008533,39995.20641594162,44850.02434090151,49583.4718177374,54198.58310765239,58698.316615319505
agent_64,7711.320012365032,14878.54756833836,21866.594435412357,28679.9401308095,35322.95218382172,41799.88893550863,48114.90226840337,54272.04026797574,60275.2498175588,66128.37912840227
agent_65,282854.9692730955,286952.5298215763,290947.6513563451,294842.8948527447,298640.7572617343,302343.67311049916,305954.0160630449,309474.100441777,312906.1827110408,316252.462923573
agent_66,16487.606721834876,22383.363225836307,28131.725817237704,33736.37934385407,39200.91653230502,44528.8402910447,49723.56595581589,54788.423478967794,59726.65956404091,64541.43974698719
agent_67,330469.5615912381,327755.7571288109,325109.7977779445,322529.9874108497,320014.6723029323,317562.2400727128,315171.11864824884,312839.77525939647,310566.71545526537,308350.48214623757
agent_68,16577.192540529824,22882.021224209686,29029.22919079755,35022.75695822072,40866.44653145831,46564.043865364954,52119.20126592393,57535.47973146894,62816.351235375325,67965.20095168405
agent_69,474076.4610839446,468593.1355210075,463246.8930971439,458034.3067338769,452952.0350296915,447996.8201181108,443165.4855793196,438454.93440399814,433862.1470080597,429384.1792970198
agent_70,18461.059596974137,26465.349448204033,34269.532053153176,41878.6100929786,49297.46118180838,56530.84099341742,63583.386309736234,70459.61799314708,77163.94388447265,83700.66162851508
agent_71,905328.5221003154,889516.1197058668,874099.0273712793,859067.3623450565,844411.4889444893,830122.0123789363,816189.7727275221,802605.8390673932,789361.5037487675,776448.2768131075
agent_72,248040.5256539242,253270.37911813424,258369.486245739,263341.11569515365,268188.45440833294,272914.60965368274,277522.61101789883,282015.41234800953,286395.8936448674,290666.86290930386
agent_73,14048.019057018237,22249.14619993657,30245.24516428195,38041.4416545187,45642.73323249952,53053.99252103083,60279.97032734885,67325.29868850892,74194.49384063999,80891.95911396778
agent_74,361454.74981481105,360714.0857784134,359991.93834292574,359287.8445933253,358601.3531874648,357932.02406675083,357279.4281740547,356643.147178676,356022.7732081817,355417.9085869498
agent_75,1454723.1099255455,1426425.4915120967,1398835.313558984,1371934.8900546993,1345706.9771380217,1320134.762044261,1295201.8523278444,1270892.265354338,1247190.4180551695,1224081.1169384802
agent_76,117250.91423812194,119458.40777652754,121610.71397647301,123709.21252141983,125755.24860274298,127750.13378203307,129695.14683184089,131591.53455540352,133440.5125858771,135243.26616558884
agent_77,85161.95502546505,88483.15266152425,91721.32035668196,94878.53385946073,97956.81702467003,100958.1431107491,103884.43604467619,106737.5716552551,109519.37887556954,112231.64091537612
agent_78,1007812.7817701347,989346.5764779493,971342.0263180685,953787.5899121847,936672.0144164481,919984.3283081049,903713.8343524702,887850.1027457265,872382.9644291513,857302.5045704904
agent_79,62975.833807808755,65497.83737470876,67956.79085243627,70354.2704932206,72691.81314298531,74970.9172265059,77193.04370793849,79359.61702733525,81472.02601374709,83531.62477549864
agent_80,89987.4669883343,92735.64714717574,95415.12280204614,98027.61156554478,100574.78810995596,103058.28524075686,105479.69494328773,107840.56940325533,110142.42200172374,112386.72828523043
agent_81,397982.3141583392,393251.7422869626,388639.4347123704,384142.434827143,379757.85993904626,375482.899423152,371314.812920155,367250.928579733,363288.64134782157,359425.41129670787
agent_82,360458.99554271955,364405.60189619235,368253.54309082835,372005.28575559845,375663.2348537493,379229.73522444634,382707.07308587595,386097.47750076983,389403.1218052914,392626.1250021999
agent_83,95492.95343869718,98227.19472421627,100893.07997759739,103492.31809964398,106026.5752686394,108497.47600840994,110906.60422968621,113255.50424543058,115545.68176078134,117778.60483824833
agent_84,17690.322258623673,22734.86596898464,27653.29608658658,32448.76545124847,37124.34808179381,41683.04114657552,46127.76688473769,50461.3744794458,54686.64188428622,58806.27760400562
agent_85,325298.40413924993,320494.6123926068,315810.91543962975,311244.3109104771,306791.8714945533,302450.74306402757,298218.142844265,294091.3576299965,290067.74204608466,286144.71685177065
agent_86,206326.19583720516,208899.29014605863,211408.0570971908,213854.10487454463,216239.00145746462,218564.27562581163,220831.41793994996,223041.8816962348,225197.08385861255,227298.40596693085
agent_87,58453.97574287001,62654.96870452465,66750.93684213792,70744.50577631085,74638.23548712947,78434.62195517762,82136.09876152455,85745.03864771282,89263.75503674638,92694.50351605412
agent_88,94645.25539955156,107177.24282040371,119395.93055573457,131309.15109768213,142924.54112608102,154249.54640376993,165291.42654951662,176057.25969161966,186553.9470051701,196788.21713588177
agent_89,372489.57428258203,368371.53171645413,364356.4402144794,360441.72600005404,356624.87964098935,352903.45444090123,349275.0648708153,345737.3850399816,342288.14720491867,338925.14031573234
agent_90,84726.5996605123,90480.33325015455,96090.22350005576,101559.86649370943,106892.76841252176,112092.34778336379,117161.93766993476,122104.78780934146,126924.066695263,131622.8636090365
agent_91,77047.20291829646,80035.53913321444,82949.16694275946,85789.95405706587,88559.72149351462,91260.24474405215,93893.25491332624,96460.43982836847,98963.44512053466,101403.87528039668
agent_92,193219.01047479064,195942.10376354266,198597.11972007586,201185.76027769578,203709.68482137518,206170.51125146257,208569.8170207978,210909.14014589967,213189.98019287398,215413.79923867394
agent_93,324047.7288698517,324393.3631467412,324730.3565667085,325058.9251511766,325379.27952103294,325691.6250316429,325996.16190448764,326293.0853555112,326582.58572025923,326864.84857588855
agent_94,138555.5189844362,141935.30933333022,145230.6049235019,148443.5181239193,151576.10849432624,154630.384105473,157608.3028263411,160511.7735791875,163342.65756321274,166102.76944763734
agent_95,1315156.519428616,1290379.6584634976,1266222.2190225073,1242668.7155675418,1219704.0496989503,1197313.5004770735,1175482.7149857436,1154197.6991316972,1133444.8086740018,1113210.740477749
agent_96,26511.27424636404,36988.728241324665,47204.24588641127,57164.37559037072,66875.50205173118,76343.85035155763,85575.48994388842,94576.33854641093,103352.16593387038,111908.59763664335
agent_97,105909.46504606617,109625.43192078812,113248.49962364203,116780.9906339246,120225.1693689501,123583.24363559995,126857.36604558356,130049.63539531759,133162.09801130826,136196.74906189917
agent_98,654154.2696885463,645959.1389770936,637968.8865334273,630178.3904008527,622582.6566715924,615176.8162855636,607956.1219091855,600915.9448922169,594051.7723006726,587359.2040239169
agent_99,267175.7204457672,263861.8529504588,260630.83214253312,257480.58685480556,254409.0976992712,251414.39577262517,248494.5613941453,245647.72287512742,242872.055319085,240165.7794519436
agent_100,633245.4364357337,623309.6762989616,613622.3101656089,604177.1281855899,594968.0757550715,585989.249635316,577234.8941685543,568699.3975884618,560377.2884228715,552263.2319864209
agent_101,9336.251125135526,12709.124921685341,15997.67687332141,19204.015026166577,22330.194725190617,25378.219931739055,28350.044508123785,31247.57347009889,34072.664208024624,36827.12767750221
agent_102,16089.824161613227,24313.971837867743,32332.515822215893,40150.596206955335,47773.22458207629,55205.28724781923,62451.548346918586,69516.65291854047,76405.12987587179,83121.39490926983
agent_103,26912.373638820067,38144.16413542717,49095.15986961909,59772.38071045623,70182.67103027242,80332.70409209322,90228.9863273685,99877.8615067619,109285.51480667046,118457.97677408131
agent_104,85401.6803743598,90557.52606825317,95584.4756197992,100485.75143255657,105264.49534999502,109923.7706694975,114466.56410601243,118895.78770661449,123214.28071720149,127424.8114025238
agent_105,18017.38182402161,23637.158271714994,29116.440308216042,34458.74029380457,39667.48277975339,44746.00670355348,49697.56752925857,54525.339334321034,59232.416844256935,63821.81741644444
agent_106,683129.5647099391,672493.2995896172,662122.9410973033,652011.8415672972,642153.5195255413,632541.6555348294,623170.0881438853,614032.8099377147,605123.9636866985,596437.8385919576
agent_107,6701.604016611818,11568.471284649411,16313.666870986064,20940.2325676643,25451.13412192558,29849.26313733033,34137.43892734996,38318.41032261911,42394.85743300652,46369.39336563424
agent_108,1987033.7345375828,1942093.2010982903,1898276.18099498,1855554.5863942527,1813901.0316585435,1773288.815791227,1733691.9053205934,1695084.9176117256,1657443.1045955797,1620742.3369048373
agent_109,1064900.0632002451,1044619.783220905,1024846.5102410483,1005567.569085688,986770.6014592117,968443.5580233973,950574.6906734784,933152.5450073074,916165.9529827907,899604.0257588868
agent_110,287660.1044360041,289541.2660726918,291375.3986684623,293163.6779493385,294907.2502481928,296607.23323957575,298264.71665617416,299880.7629873576,301456.40816026146,302992.6622038427
agent_111,1075946.0676862793,1056125.2632989774,1036799.9790213581,1017957.8268506792,999586.7284842674,981674.9075770158,964210.8821924456,947183.4574424896,930581.7183112825,914395.0226583555
agent_112,67524.83699414531,71295.14561944408,74971.19652911038,78555.34616603503,82049.89206203655,85457.07431063804,88779.07700302449,92018.02962810129,95176.00843755115,98255.03777676477
agent_113,596651.7148432978,590729.7837595337,584955.9009528636,579326.3652163603,573837.5678732696,568485.990463756,563268.2024894804,558180.8592145616,553220.6995215159,548384.5438207962
agent_114,104815.15966139009,111942.12823665238,118890.92259753312,125665.99709939184,132271.6947387041,138712.24993703354,144991.79125540477,151114.3440408167,157083.83300659334,162904.08474822555
agent_115,73647.4752019986,76825.98245706431,79925.02703075338,82946.59549010021,85892.62473796337,88765.00325462996,91565.57230837988,94296.12713578605,96958.41809250707,99554.15177531006
agent_116,88113.27963497493,92636.58711545076,97046.81190891471,101346.78108254206,105539.25102682872,109626.9092225082,113612.37596329572,117498.20603556355,121286.89035602467,124980.85756847425
agent_117,30252.902065371454,33504.6871384622,36675.17758472567,39766.40576983256,42780.35325031178,45718.95204377902,48584.08586740957,51377.591345449364,54101.25918653816,56756.83533159974
agent_118,934976.3528802033,919270.6277093403,903957.5456677489,889027.2906771973,874470.2920614094,860277.2184110163,846438.971601883,832946.6809629779,819791.6975900455,806965.5888014365
agent_119,289007.6510777749,287814.4638028681,286651.106209834,285516.8325566257,284410.9157447476,283332.6468531665,282281.3346838749,281256.30531881563,280256.90168788284,279282.48314772337
agent_120,207565.75404737,210161.63952384866,212692.62786341534,215160.3414944929,217566.36228479346,219912.23255533655,222199.45606911607,224429.49899505108,226603.7908478377,228723.72540430469
agent_121,78649.4453264338,83143.42136216357,87525.0479970001,91797.13396596572,95962.4177857072,100023.56950995515,103983.1924410969,107843.8247989601,111607.94134787671,115277.9549830704
agent_122,689479.1924362315,676971.3133227748,664776.1311871546,652885.8286049247,641292.7835872506,629989.5646950185,618968.9262750921,608223.8038156638,597747.3094177212,587532.7273797273
agent_123,210239.98917645018,210722.43471705014,211192.81911913512,211651.44391116797,212098.6030834,212534.58327632622,212959.6639644293,213374.11763532978,213778.20996445775,214172.19998535755
agent_124,915394.8794368496,900735.026090128,886441.6690770745,872505.6459893472,858918.0234788132,845670.0915310426,832753.3578819662,820159.5425741167,807880.5726489634,795908.5769719391
agent_125,1289858.939105379,1265227.3534949517,1241211.5575247852,1217796.1564538728,1194966.1404097332,1172706.874766697,1151004.0907647368,1129843.8763628255,1109212.667320962,1089097.238505145
agent_126,552511.3506678721,546140.5132941966,539928.946854863,533872.6695765126,527967.7992301211,522210.55064238934,516597.2332693509,511124.24883063836,505788.08900289366,500585.33317084255
agent_127,23296.712047990226,31930.14297790742,40347.73813457669,48554.89341232923,56556.86980813795,64358.79679405145,71965.67560531711,79382.38244630114,86613.67161626057,93664.17855697102
agent_128,277467.0588807358,275434.5250551657,273452.8045752348,271520.62710730225,269636.754076068,267799.97787061456,266009.1210702975,264263.03568998835,262560.6024441869,260900.73002953053
agent_129,192114.33457251685,192667.00512497406,193205.85891361983,193731.24135754947,194243.48924038085,194742.93092614145,195229.88656975803,195704.6683222842,196167.58053099722,196618.9199344924
agent_130,19477.29449621474,27773.330775466657,35861.96614773727,43748.385635701125,51437.64463646588,58934.672162211515,66244.27399981351,73371.13579147545,80319.82603834584,87094.79902904447
